ip address,port,state,service & version,os,host,NetBIOS name,NetBIOS MAC
10.30.1.11,135,open,msrpc & Microsoft Windows RPC,Windows, ,ADMIN,00:50:56:89:81:8b (VMware)
10.30.1.11,139,open,netbios-ssn & Microsoft Windows netbios-ssn,Windows, ,ADMIN,00:50:56:89:81:8b (VMware)
